"filename", "language", "C#", "XML", "Markdown", "JSON", "comment", "blank", "total"
"f:\VSProj\repos\RYCBEditorX.MySQL\.VSCodeCounter\2024-08-22_15-44-19\details.md", "Markdown", 0, 0, 13, 0, 0, 6, 19
"f:\VSProj\repos\RYCBEditorX.MySQL\.VSCodeCounter\2024-08-22_15-44-19\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 6, 15
"f:\VSProj\repos\RYCBEditorX.MySQL\.VSCodeCounter\2024-08-22_15-44-19\diff.md", "Markdown", 0, 0, 12, 0, 0, 7, 19
"f:\VSProj\repos\RYCBEditorX.MySQL\.VSCodeCounter\2024-08-22_15-44-19\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"f:\VSProj\repos\RYCBEditorX.MySQL\.VSCodeCounter\2024-08-22_15-44-19\results.md", "Markdown", 0, 0, 16, 0, 0, 7, 23
"f:\VSProj\repos\RYCBEditorX.MySQL\MySQLConnectionUtils.cs", "C#", 253, 0, 0, 0, 62, 21, 336
"f:\VSProj\repos\RYCBEditorX.MySQL\MySQLModule.cs", "C#", 71, 0, 0, 0, 32, 4, 107
"f:\VSProj\repos\RYCBEditorX.MySQL\README.md", "Markdown", 0, 0, 1, 0, 0, 2, 3
"f:\VSProj\repos\RYCBEditorX.MySQL\RYCBEditorX.MySQL.csproj", "XML", 0, 13, 0, 0, 0, 0, 13
"Total", "-", 324, 13, 51, 1, 94, 53, 536
